date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_mlp_8
1946-01-01,1095.0249999999992,1444.198616180507,1197.3892389014331,890,
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361936,992,
1946-03-01,1214.0776315789465,1545.5715803337537,1321.1474334396976,979,
1946-04-01,1322.1302631578938,1644.7843762768762,1431.116770390895,959,
1946-05-01,1385.0249999999992,1698.83927674319,1495.6374952003118,1110,
1946-06-01,1539.4986842105254,1844.473122881762,1651.44644997321,1546,
1946-07-01,1929.709210526315,2225.843808421344,2042.701529446432,1539,
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883136,3401,
1946-09-01,2284.709210526315,2563.16412667662,2398.91848354648,2092,
1946-10-01,1815.6565789473675,2085.271657162996,1930.0382529101475,1436,
1946-11-01,1636.130263157894,1896.9055003584456,1750.3936206583508,1301,
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016136,1287,
1947-01-01,1220.817543859648,1464.4041988594968,1362.532522178096,1488,
1947-02-01,1203.1859649122798,1438.9149915567698,1344.924980777525,1517,1260.8287581197696
1947-03-01,1339.8701754385957,1567.7415715928482,1481.3748133795798,1707,1360.020366506708
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632103,1729,1434.9276830258302
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389423,1788,1488.1159796137486
1947-06-01,1665.2912280701746,1869.5897270110145,1804.5422394120385,2008,1665.9033804755443
1947-07-01,2055.501754385964,2251.9426168406494,2193.48472591934,2203,1959.1560238786858
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324005,3713,2746.7774581373733
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891923,2946,2630.703128844552
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088586,2082,2093.597527732729
1947-11-01,1761.922807017543,1926.933125937961,1892.249464606397,2033,1741.7666614193508
1947-12-01,1523.3964912280694,1680.5491727802937,1651.16303165315,1937,1677.8859347553462
1948-01-01,1346.610087719297,1496.3962330191175,1500.118501467004,1711,1753.5357886832237
1948-02-01,1328.978508771929,1471.889230006443,1480.4244806376878,1775,1739.4375679355721
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448788,1902,1888.1827194795087
1948-04-01,1573.715350877192,1702.875218855802,1720.358098367528,1846,1983.3162362584421
1948-05-01,1636.610087719297,1758.894527902221,1780.5120527161607,2083,1983.9057651298167
1948-06-01,1791.0837719298238,1906.4927826208984,1932.018840896039,2262,2158.2066304630985
1948-07-01,2181.2942982456134,2289.827876740585,2319.0363576440045,2193,2554.716004430552
1948-08-01,3286.083771929824,3387.741912175916,3420.406708223217,3792,3127.638201003202
1948-09-01,2536.2942982456134,2631.077012156072,2666.9719978968333,2343,3252.58707489919
